Date : 2025-04-22 13:44:20
Directory : /home/ehosta/Documents/42-minishell
Total : 147 files,  4676 codes, 1830 comments, 860 blanks, all 7366 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_issorted.c                  | C        |          9 |         11 |          4 |         24 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isspace.c                   | C        |          8 |         11 |          3 |         22 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstadd_back.c              | C        |          8 |         11 |          3 |         22 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstadd_front.c             | C        |          8 |         11 |          3 |         22 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstclear.c                 | C        |         14 |         11 |          4 |         29 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstdelone.c                | C        |          9 |         11 |          3 |         23 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstiter.c                  | C        |         11 |         11 |          3 |         25 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstlast.c                  | C        |          9 |         11 |          3 |         23 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstmap.c                   | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstnew.c                   | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstsize.c                  | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/42-minishell/lib/src/math/ft_abs.c                     | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/42-minishell/lib/src/math/ft_sign.c                    | C        |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/42-minishell/lib/src/math/ft_sqrt.c                    | C        |          8 |         11 |          3 |         22 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_bzero.c                    | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_calloc.c                   | C        |         14 |         11 |          4 |         29 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memalloc.c                 | C        |         10 |         11 |          5 |         26 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memchr.c                   | C        |         13 |         11 |          4 |         28 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memcmp.c                   | C        |         15 |         11 |          4 |         30 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memcpy.c                   | C        |         18 |         11 |          4 |         33 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memmove.c                  | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memset.c                   | C        |         12 |         11 |          4 |         27 |
| /home/ehosta/Documents/42-minishell/lib/src/misc/ft_selection_sort.c          | C        |         25 |         11 |          4 |         40 |
| /home/ehosta/Documents/42-minishell/lib/src/printf/ft_printf.c                | C        |         92 |         11 |         12 |        115 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_split.c                    | C        |         85 |         11 |         10 |        106 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strchr.c                   | C        |         15 |         11 |          4 |         30 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strdup.c                   | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_striteri.c                 | C        |         13 |         11 |          4 |         28 |
